,Model,Company,km,Fueltype,Sellingprice,year,carpics,,,,,,,,,
1,Maruti Eeco Flexi Green,Maruti,7506,CNG,490000,2020,https://images10.gaadicdn.com/usedcar_image/medium_srp/used_car_2606874_1667048312.jpg,,,,,,,,,
2,Mahindra Thar LX 4-Str Hard Top Diesel AT,Mahindra,3700,Diesel,1750000,2020,https://images10.gaadicdn.com/usedcar_image/medium_srp/used_car_2607305_1667126268.jpg,,,,,,,,,
3,Jaguar XJ 3.0L Portfolio,Jaguar,16000,Diesel,6475000,2017,https://images10.gaadicdn.com/usedcar_image/medium_srp/usedcar_img_20220729_wa0058_2605737_1666936144.jpg,,,,,,,,,
4,Tata New Safari XZA Plus AT,Tata,25000,Diesel,2350000,2021,https://images.zigcdn.com/images/spacer.png,,,,,,,,,
5,Honda City VX MT,Honda,1400,Petrol,1375000,2021,https://images10.gaadicdn.com/usedcar_image/medium_srp/z_blur_img_63621fdf76526_1667375071.jpg,,,,,,,,,
6,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Maruti,3300,Diesel,1175000,2019,https://images10.gaadicdn.com/usedcar_image/medium_srp/zz1_crop_img_6358bfd2bcef6_1666760658.jpg,,,,,,,,,
7,BMW 6 Series GT 630d Luxury Line,BMW,15600,Diesel,5700000,2019,https://images10.gaadicdn.com/usedcar_image/medium_srp/usedcar_79b9713a_478b_4014_9871_b1679d2f4411_5731667370009_1667370067.jpg,,,,,,,,,
8,Toyota Fortuner 2016-2021 2.8 2WD AT,Toyota,36000,Diesel,3250000,2017,https://images10.gaadicdn.com/usedcar_image/medium_srp/zz1_crop_img_6358cdce72cf1_1666764238.jpg,,,,,,,,,
9,Mercedes-Benz GLA Class 200,Mercedes-Benz,36600,Petrol,1865000,2014,https://images10.gaadicdn.com/usedcar_image/medium_srp/used_car_2607380_1667134663.jpg,,,,,,,,,
10,Jaguar XF 2.2 Litre Luxury,Jaguar,33000,Diesel,1990000,2015,https://images10.gaadicdn.com/usedcar_image/medium_srp/usedcar_whatsappimage2022_09_29at11617pm_2__1431665654695_1665654747.jpeg,,,,,,,,,
11,Kia Seltos HTX IVT G,Kia,10252,Diesel,1685000,2021,https://images10.gaadicdn.com/usedcar_image/medium_srp/used_car_2608600_1667304248.jpg,,,,,,,,,
12,Volvo V40 Cross Country D3,Volvo,44000,Diesel,1675000,2015,https://images10.gaadicdn.com/usedcar_image/medium_srp/usedcar_1_1111665220098_1665220154.jpg,,,,,,,,,
13,MG Hector Sharp DCT,MG,7000,Petrol,1899000,2021,https://images10.gaadicdn.com/usedcar_image/medium_srp/usedcar_whatsappimage2022_09_13at60721pm_2595952_1666161044.jpeg,,,,,,,,,
